KAB. INTAN JAYA,-3.51,136.75
KAB. JAYAPURA,-2.99,139.85
KAB. JAYAWIJAYA,-4.00,138.80
KAB. KEEROM,-3.35,140.76
KAB. KEPULAUAN YAPEN,-1.75,136.17
KAB. LANNY JAYA,-3.97,138.32
KAB. MAMBERAMO RAYA,-2.53,137.76
KAB. MAMBERAMO TENGAH,-2.37,138.32
KAB. MAPPI,-6.76,139.69
KAB. MERAUKE,-7.78,139.04
KAB. MIMIKA,-4.46,137.14
KAB. NABIRE,-3.51,135.75
KAB. NDUGA,-4.41,138.24
KAB. PANIAI,-3.79,136.36
KAB. PEGUNUNGAN BINTANG,-4.56,140.51
KAB. PUNCAK,-3.86,137.61
KAB. PUNCAK JAYA,-3.45,137.84
KAB. SARMI,-2.47,139.20
KAB. SUPIORI,-0.73,135.64
KAB. TOLIKARA,-3.48,138.48
KAB. WAROPEN,-1.75,136.17
KAB. YAHUKIMO,-4.49,139.53
KAB. YALIMO,-3.79,139.45
KOTA JAYAPURA,-2.59,140.67
KAB. YAPEN WAROPEN,-1.75,136.17
KAB. FAKFAK,-3.10,133.02
KAB. KAIMANA,-3.29,133.94
KAB. MANOKWARI,-999.00,133.02
KAB. MANOKWARI SELATAN,-999.00,133.02
KAB. MAYBRAT,-1.30,132.32
KAB. PEGUNUNGAN ARFAK,-1.16,133.71
KAB. RAJA AMPAT,-1.09,130.88
KAB. SORONG,-1.12,131.49
KAB. SORONG SELATAN,-1.77,132.16
KAB. TAMBRAUW,-0.78,132.39
KAB. TELUK BINTUNI,-1.91,133.33
KAB. TELUK WONDAMA,-2.86,134.32
KOTA SORONG,-0.88,131.26
